Strike,CE LTP,CE OI,CE Volume,PE LTP,PE OI,PE Volume,timestamp
20450,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
20500,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
20550,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
20600,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
20650,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
20700,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
20750,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
20800,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
20850,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
20900,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
20950,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21000,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21050,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21100,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21150,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21200,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21250,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21300,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21350,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21400,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21450,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21500,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21550,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21600,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21650,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21700,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21750,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21800,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21850,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21900,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
21950,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22000,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22050,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22100,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22150,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22200,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22250,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22300,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22350,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22400,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22450,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22500,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22550,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22600,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22650,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22700,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22750,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22800,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22850,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22900,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
22950,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23000,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23050,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23100,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23150,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23200,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23250,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23300,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23350,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23400,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23450,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23500,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23550,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23600,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23650,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23700,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23750,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23800,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23850,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23900,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
23950,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
24000,1723.9,60905,13975,2.25,6944405,38948325,2026-01-12 02:55:25
24050,2194.7,195,0,2.4,210340,5194020,2026-01-12 02:55:25
24100,1846.0,195,0,2.4,818285,7889635,2026-01-12 02:55:25
24150,2050.15,325,0,2.6,169000,4426825,2026-01-12 02:55:25
24200,2045.35,195,0,2.7,516230,8131955,2026-01-12 02:55:25
24250,1950.2,325,0,2.9,238550,4772430,2026-01-12 02:55:25
24300,1968.1,520,0,2.9,611715,11031670,2026-01-12 02:55:25
24350,1555.85,195,0,3.2,159900,5712265,2026-01-12 02:55:25
24400,1805.0,390,0,3.25,785005,12015380,2026-01-12 02:55:25
24450,1234.65,260,910,3.3,256880,6149845,2026-01-12 02:55:25
24500,1215.55,8905,7345,3.5,5392530,46678060,2026-01-12 02:55:25
24550,1138.3,195,325,3.75,276380,8561995,2026-01-12 02:55:25
24600,1098.9,3575,1105,3.85,2143050,23601305,2026-01-12 02:55:25
24650,1309.0,520,0,4.0,517855,10154560,2026-01-12 02:55:25
24700,1007.8,2145,325,4.2,1708720,31449990,2026-01-12 02:55:25
24750,987.9,2665,8190,4.35,484640,11546990,2026-01-12 02:55:25
24800,910.0,5005,6175,4.35,3651960,52910975,2026-01-12 02:55:25
24850,869.5,1040,1560,4.9,552760,14311505,2026-01-12 02:55:25
24900,791.7,2340,1885,5.0,2032030,40957410,2026-01-12 02:55:25
24950,774.7,715,975,5.6,721240,21807825,2026-01-12 02:55:25
25000,752.6,115310,241865,6.2,7306260,91760955,2026-01-12 02:55:25
25050,680.0,1170,2730,6.85,833300,27553370,2026-01-12 02:55:25
25100,641.35,20345,35555,7.5,2196805,52509015,2026-01-12 02:55:25
25150,582.3,6435,10790,8.35,1705925,36649080,2026-01-12 02:55:25
25200,553.1,32500,124735,9.2,6977880,71893640,2026-01-12 02:55:25
25250,493.35,19435,58110,10.15,2309255,41416180,2026-01-12 02:55:25
25300,456.9,85215,634855,11.35,3991390,77344215,2026-01-12 02:55:25
25350,408.4,33215,270400,13.1,1583595,58529835,2026-01-12 02:55:25
25400,363.1,143715,2182570,15.55,7490925,132082405,2026-01-12 02:55:25
25450,316.95,50440,1169675,19.15,2319720,96422755,2026-01-12 02:55:25
25500,270.4,784940,15654210,24.75,11910600,266975020,2026-01-12 02:55:25
25550,228.75,204295,7527585,31.4,3084640,164727290,2026-01-12 02:55:25
25600,187.75,1127685,51573860,41.35,7894250,357552390,2026-01-12 02:55:25
25650,151.65,1772810,73716630,55.35,5525390,361760945,2026-01-12 02:55:25
25700,119.6,6400875,239796960,73.0,8318635,603738525,2026-01-12 02:55:25
25750,93.25,4564300,177890050,96.15,2930330,357538610,2026-01-12 02:55:25
25800,71.25,10426390,340245620,124.0,4084340,533884585,2026-01-12 02:55:25
25850,54.25,5712525,253518005,155.85,1827020,361418265,2026-01-12 02:55:25
25900,41.45,13452010,420487860,193.1,4262830,380787355,2026-01-12 02:55:25
25950,32.25,6815575,241149610,234.1,1662180,129690015,2026-01-12 02:55:25
26000,25.0,21523060,359173945,277.65,3596970,119739685,2026-01-12 02:55:25
26050,20.0,10440235,166836020,322.25,1076075,25769120,2026-01-12 02:55:25
26100,15.8,15930785,226150340,368.3,2233140,28126800,2026-01-12 02:55:25
26150,13.05,9212580,137249125,413.95,755170,5147025,2026-01-12 02:55:25
26200,10.7,15732990,173131595,464.65,1849445,9440275,2026-01-12 02:55:25
26250,9.05,6238700,94860480,509.9,428220,1521845,2026-01-12 02:55:25
26300,7.55,11821095,118241435,558.3,1129180,3018275,2026-01-12 02:55:25
26350,6.4,4501120,78675545,615.7,242840,324480,2026-01-12 02:55:25
26400,5.25,7970430,101841285,654.45,607035,1706445,2026-01-12 02:55:25
26450,4.8,2988310,54834000,710.15,96785,71695,2026-01-12 02:55:25
26500,4.1,14999790,116304175,757.9,364910,428415,2026-01-12 02:55:25
26550,3.75,3175770,52397605,827.05,51610,18395,2026-01-12 02:55:25
26600,3.15,8963240,91631735,877.6,101530,44460,2026-01-12 02:55:25
26650,2.8,2498990,47725275,922.95,33085,8320,2026-01-12 02:55:25
26700,2.7,7120750,77674155,965.0,97045,28535,2026-01-12 02:55:25
26750,2.7,2150915,33666815,1020.75,23660,12805,2026-01-12 02:55:25
26800,2.5,6814145,63038430,1069.45,93470,20930,2026-01-12 02:55:25
26850,2.4,1144780,21851245,1132.0,14235,11115,2026-01-12 02:55:25
26900,2.15,4873115,48996480,1182.9,36075,4290,2026-01-12 02:55:25
26950,2.2,1184170,12885730,1255.0,12415,7930,2026-01-12 02:55:25
27000,2.1,15006225,76908910,1260.0,131365,55900,2026-01-12 02:55:25
27050,1.9,1245335,7905105,1130.2,1820,0,2026-01-12 02:55:25
27100,1.9,4265820,19481735,1391.4,13845,2080,2026-01-12 02:55:25
27150,1.8,1082315,6108765,1155.0,390,0,2026-01-12 02:55:25
27200,1.85,4594590,21396895,1285.0,24635,65,2026-01-12 02:55:25
27250,1.65,724490,4798560,1130.0,130,0,2026-01-12 02:55:25
27300,1.65,3323580,11406070,1586.9,2340,1625,2026-01-12 02:55:25
27350,1.6,653770,4196855,1186.75,260,0,2026-01-12 02:55:25
27400,1.55,2939105,10957830,1270.25,260,0,2026-01-12 02:55:25
27450,1.45,493610,4050475,1491.85,195,0,2026-01-12 02:55:25
27500,1.35,8637525,27199835,1800.0,5590,325,2026-01-12 02:55:25
27550,1.3,537810,3166605,1326.95,260,0,2026-01-12 02:55:25
27600,1.4,3514420,11221665,1397.8,260,0,2026-01-12 02:55:25
27650,1.25,368940,2195245,1437.0,390,0,2026-01-12 02:55:25
27700,1.3,1657890,4558515,1825.0,910,520,2026-01-12 02:55:25
27750,1.2,195260,1825980,1531.9,195,0,2026-01-12 02:55:25
27800,1.3,990145,3637985,1591.3,260,0,2026-01-12 02:55:25
27850,1.2,91000,1060475,1640.1,390,0,2026-01-12 02:55:25
27900,1.25,752765,3356600,2177.9,52520,38480,2026-01-12 02:55:25
27950,1.05,185575,1647945,1990.0,390,0,2026-01-12 02:55:25
28000,1.2,3006250,15753140,2303.65,8515,455,2026-01-12 02:55:25
28050,1.2,166855,2005315,1842.45,65,0,2026-01-12 02:55:25
28100,1.25,2265315,6719245,1953.75,130,0,2026-01-12 02:55:25
28150,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28200,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28250,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28300,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28350,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28400,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28450,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28500,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28550,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28600,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28650,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28700,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28750,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28800,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28850,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28900,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
28950,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29000,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29050,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29100,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29150,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29200,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29250,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29300,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29350,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29400,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29450,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29500,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29550,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29600,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29650,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29700,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29750,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29800,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29850,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29900,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
29950,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30000,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30050,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30100,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30150,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30200,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30250,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30300,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30350,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30400,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30450,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30500,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30550,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30600,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30650,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30700,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30750,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30800,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30850,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30900,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30950,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31000,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31050,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31100,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31150,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31200,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31250,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31300,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31350,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31400,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31450,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31500,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31550,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31600,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
